	SRR1927149	SRR1929485
K01338	28838	5098
K01349	78	0
K01354	28	220
K01356	5386	1564
K01358	10136	1819
K01361	5445	331
K01364	2842	1626
K01365	96	20
K01369	54	0
K01372	7903	2699
K01373	8	0
K01392	695	330
K01393	20	4
K01400	384	11
K01405	112	13
K01407	31	323
K01408	1077	302
K01409	7938	1799
K01412	32	13
K01414	6441	249
K01419	969	278
K01420	3104	485
K01421	2481	1367
K01424	4163	1249
K01425	340	216
K01426	164	163
K01428	4174	74
K01429	1088	17
K01430	856	18
K01432	284	162
K01433	2815	131
K01436	1015	634
K01438	6222	1301
K01439	6242	958
K01442	3215	1232
K01443	6300	1195
K01444	10	2
K01447	4804	1485
K01448	15024	4153
K01449	1266	386
K01451	153	25
K01452	173	98
K01455	676	28
K01458	28	1
K01460	46	202
K01462	6193	1475
K01463	169	65
K01464	903	198
K01465	8834	1671
K01466	61	156
K01467	129	140
K01468	2139	318
K01470	854	87
K01473	81	29
K01474	1	5
K01476	409	89
K01478	694	128
K01479	176	32
K01480	1337	345
K01482	61	14
K01483	8	57
K01484	10	78
K01485	816	397
K01486	2157	908
K01487	1077	510
K01488	1357	925
K01489	2609	811
K01491	7483	1441
K01492	39	2
K01493	3943	836
K01494	1629	247
K01495	3917	772
K01496	141	47
K01497	2197	79
K01499	10	0
K01501	428	38
K01505	11	3
K01507	1423	528
K01512	172	101
K01515	4935	1407
K01518	114	39
K01519	16	0
K01520	6858	1308
K01521	16	85
K01523	162	10
K01524	7594	1484
K01525	2259	109
K01531	70	418
K01533	7443	2327
K01534	14501	3706
K01537	15232	3555
K01539	4	89
K01541	497	349
K01546	16	168
K01547	52	159
K01548	13	59
K01551	22	0
K01557	973	290
K01560	1377	323
K01563	11	0
K01565	101	19
K01567	650	216
K01571	3528	1033
K01572	6026	2315
K01573	169	65
K01575	178	98
K01577	27	190
K01579	2015	367
K01580	31	293
K01581	3725	1320
K01582	404	469
K01583	42	0
K01584	46	267
K01585	8557	2502
K01586	11728	1942
K01588	4147	910
K01589	76	82
K01590	758	138
K01591	5417	1302
K01595	21	270
K01596	2951	797
K01599	369	725
K01601	5	54
K01607	4720	764
K01608	19	202
K01609	1670	667
K01610	14518	3085
K01611	577	379
K01613	5063	1048
K01615	1636	838
K01619	4293	1454
K01620	2171	740
K01621	477	202
K01623	3	82
K01624	10300	2626
K01625	2504	841
K01626	4272	816
K01627	3947	751
K01628	2534	745
K01629	1603	490
K01630	25	77
K01631	3	59
K01633	2462	465
K01637	15	155
K01638	47	326
K01639	1714	397
K01641	371	202
K01643	1803	588
K01644	1121	299
K01646	457	137
K01647	8755	1232
K01649	11709	2056
K01652	15184	3223
K01653	4114	802
K01654	1558	257
K01657	7447	1503
K01658	3001	487
K01659	21	97
K01661	3739	492
K01662	16513	3793
K01664	10	79
K01665	3518	202
K01666	749	161
K01667	1092	529
K01669	14	105
K01671	13	94
K01673	1021	331
K01674	11	0
K01676	8109	1711
K01677	1402	400
K01678	873	232
K01679	1218	359
K01681	7365	2987
K01682	8649	322
K01683	14	0
K01684	52	118
K01685	2377	960
K01686	5713	1768
K01687	12402	2186
K01689	8494	2178
K01690	24	136
K01692	49	66
K01693	844	325
K01695	4177	863
K01696	6146	1281
K01698	613	518
K01703	9185	1525
K01704	3683	741
K01706	17	163
K01708	299	145
K01709	3555	332
K01710	9314	2160
K01711	3295	859
K01712	2641	540
K01713	221	9
K01714	7330	1569
K01715	920	349
K01716	1588	102
K01719	2005	760
K01720	96	117
K01725	2	62
K01727	55	54
K01728	10014	2612
K01729	188	0
K01731	59	0
K01733	9724	1735
K01734	1002	397
K01735	7493	1448
K01736	6005	1369
K01737	2017	392
K01738	10078	1832
K01739	3465	463
K01740	15739	3264
K01741	54	32
K01744	3862	1444
K01745	2936	616
K01746	369	125
K01749	353	412
K01750	1136	100
K01751	234	162
K01752	4414	1880
K01753	343	257
K01754	7799	1316
K01755	9298	2191
K01756	10985	2516
K01758	16	6
K01759	1925	489
K01760	809	232
K01761	385	89
K01766	31	128
K01768	3483	998
K01770	3817	698
K01771	967	7
K01772	27	94
K01775	11559	2851
K01776	5827	1336
K01777	86	37
K01778	6079	1220
K01779	390	150
K01781	98	14
K01782	24	175
K01783	5742	1418
K01784	14563	3365
K01785	7532	2518
K01787	2822	506
K01788	119	79
K01790	6553	1862
K01791	4558	1487
K01792	51	81
K01793	60	37
K01796	63	11
K01801	2	9
K01802	2167	622
K01803	9146	2454
K01804	6037	1298
K01805	1062	351
K01807	1879	270
K01808	2308	875
K01809	5198	1474
K01810	13722	2801
K01811	12629	4111
K01812	4282	1389
K01813	2722	868
K01814	3991	802
K01815	2415	739
K01816	74	78
K01817	1480	478
K01818	4021	1055
K01819	309	84
K01821	133	54
K01823	770	264
K01825	27	209
K01826	9	63
K01829	1	10
K01834	1063	598
K01835	14142	3465
K01838	3927	886
K01839	1777	912
K01840	5900	1943
K01841	2207	253
K01843	990	132
K01844	649	135
K01845	2183	1023
K01846	174	8
K01847	2952	1315
K01848	864	442
K01849	156	119
K01854	3155	940
K01858	1800	572
K01866	10271	2632
K01867	8523	2264
K01868	16780	4294
K01869	22350	6043
K01870	26322	6221
K01872	21851	5276
K01873	23139	5381
K01874	18148	4989
K01875	11657	2833
K01876	15075	3588
K01878	4119	411
K01879	8148	884
K01880	8191	2892
K01881	13839	3770
K01883	13360	3324
K01884	112	94
K01885	13173	3140
K01886	11568	2362
K01887	14897	3929
K01889	9479	2271
K01890	19006	4377
K01892	10345	2328
K01893	11727	2511
K01894	1854	126
K01895	5404	1790
K01897	27997	7025
K01902	2826	347
K01903	3948	328
K01904	2	24
K01905	198	16
K01906	188	208
K01908	8	103
K01909	31	3
K01910	1264	521
K01911	5245	585
K01912	5864	944
K01914	5661	1237
K01915	22086	6188
K01916	404	266
K01918	4265	752
K01919	29	189
K01920	4	74
K01921	8935	2185
K01923	6983	1867
K01924	11529	2497
K01925	11226	2458
K01926	1969	441
K01928	11757	3055
K01929	10150	2307
K01932	462	7
K01933	8535	1823
K01934	3608	623
K01935	2132	331
K01937	14114	3117
K01938	5165	2064
K01939	10623	2707
K01940	12027	2927
K01941	36	70
K01945	9507	1972
K01950	11557	2324
K01951	11908	2564
K01952	27552	5654
K01953	11062	2138
K01955	31100	6981
K01956	7638	1573
K01958	970	428
K01959	20	7
K01960	5006	1619
K01961	5818	629
K01962	3431	363
K01963	3040	355
K01965	254	113
K01966	5938	1939
K01968	168	62
K01972	14810	3726
K01974	3	64
K01975	280	26
K01989	3059	1387
K01990	24698	6545
K01991	5428	1668
K01992	25166	5945
K01993	6756	1490
K01994	151	39
K01995	2564	861
K01996	2450	934
K01997	3399	1106
K01998	3270	1192
K01999	4139	1550
K02000	172	157
K02001	194	128
K02002	80	129
K02003	19855	6222
K02004	46152	14772
K02005	10238	4237
K02006	226	53
K02007	123	122
K02008	118	79
K02010	3110	606
K02011	5391	1283
K02012	3611	813
K02013	7531	1669
K02014	32973	13166
K02015	8080	1848
K02016	9098	2909
K02017	175	232
K02018	175	199
K02019	290	87
K02020	365	276
K02021	20	0
K02022	523	56
K02024	21637	481
K02025	6596	1261
K02026	6677	1084
K02027	7766	1676
K02028	6927	2080
K02029	6228	1745
K02030	14212	3832
K02031	4482	799
K02032	3994	808
K02033	4470	934
K02034	3832	828
K02035	7683	1944
K02036	4246	996
K02037	4508	854
K02038	4479	998
K02039	1991	561
K02040	6848	1688
K02041	279	89
K02042	569	99
K02043	3	14
K02044	600	336
K02045	153	192
K02046	139	184
K02047	141	189
K02048	182	329
K02049	2782	351
K02050	3627	440
K02051	5126	701
K02052	581	107
K02053	401	65
K02054	36	73
K02055	630	114
K02056	10029	2245
K02057	12646	2745
K02058	2877	691
K02062	250	57
K02063	279	74
K02064	204	119
K02065	4735	897
K02066	4740	873
K02067	4216	1113
K02068	283	95
K02069	246	116
K02071	6534	984
K02072	4406	671
K02073	7171	1327
K02074	2246	17
K02075	2618	26
K02077	2718	17
K02078	6589	1289
K02079	8	84
K02080	12	106
K02081	1100	502
K02082	181	376
K02083	121	165
K02086	227	90
K02099	1119	588
K02100	1918	539
K02103	1447	145
K02106	747	339
K02107	18	5
K02108	8702	1970
K02109	4028	911
K02110	2568	623
K02111	13178	3071
K02112	12800	2915
K02113	4337	967
K02114	3494	692
K02115	7636	1736
K02116	63	118
K02117	3599	1034
K02118	3372	813
K02119	458	91
K02120	1836	417
K02121	1172	296
K02122	408	95
K02123	4594	935
K02124	1243	312
K02132	9	13
K02133	34	10
K02160	2241	281
K02167	66	109
K02168	230	375
K02169	2656	124
K02170	2591	89
K02171	534	149
K02172	2274	424
K02173	19	88
K02182	19	148
K02188	1114	388
K02189	613	335
K02190	1777	619
K02191	53	91
K02192	7	26
K02193	20	57
K02194	9	56
K02195	535	108
K02196	2	29
K02197	4	50
K02198	18	184
K02199	3989	753
K02200	35	95
K02203	818	147
K02204	70	5
K02217	1042	348
K02221	2301	176
K02224	1061	376
K02226	1105	462
K02227	3215	371
K02230	5505	2453
K02231	914	332
K02232	1362	552
K02233	2668	351
K02234	6413	972
K02236	116	64
K02237	1557	621
K02238	8438	2731
K02241	305	47
K02242	1720	719
K02250	14	13
K02255	8	54
K02257	7	88
K02275	39	49
K02278	64	25
K02279	923	324
K02280	618	323
K02282	380	262
K02283	2364	1041
K02291	257	87
K02297	21	112
K02298	41	205
K02299	20	95
K02300	8	41
K02302	33	231
K02304	429	232
K02313	14700	2903
K02314	14032	3796
K02315	39437	3836
K02316	20225	4187
K02317	7	44
K02319	28	8
K02321	145	0
K02322	19	5
K02323	38	15
K02334	12587	404
K02335	22078	5656
K02336	29	200
K02337	36393	6690
K02338	10133	2175
K02339	15	69
K02340	3882	1441
K02341	7140	1695
K02342	11862	1926
K02343	10440	2827
K02344	6	38
K02345	5	26
K02346	4257	1211
K02347	61	22
K02348	153	156
K02355	35918	9312
K02356	6218	1548
K02357	9011	2424
K02358	21674	5203
K02361	1506	654
K02362	15	133
K02363	16	132
K02364	26	253
K02371	1771	559
K02372	3409	599
K02377	3083	890
K02379	47	102
K02380	16	114
K02381	38	237
K02383	197	65
K02385	233	50
K02386	2100	139
K02387	1984	179
K02388	2117	203
K02389	3162	230
K02390	6119	622
K02391	2548	38
K02392	4839	597
K02393	2437	140
K02394	3658	240
K02395	5297	531
K02396	8192	861
K02397	4671	489
K02398	1483	163
K02399	1055	44
K02400	8114	893
K02401	5004	489
K02402	10	50
K02403	9	35
K02404	5475	335
K02405	3705	398
K02406	21835	2860
K02407	7056	766
K02408	1555	138
K02409	6402	500
K02410	4396	561
K02411	3804	334
K02412	4571	547
K02413	1467	189
K02414	194	181
K02415	3304	242
K02416	3748	253
K02417	2572	335
K02418	2607	164
K02419	3206	335
K02420	1404	142
K02421	3162	343
K02422	2273	238
K02423	5	29
K02424	226	190
K02425	10	56
K02426	1426	602
K02427	2272	254
K02428	7814	2005
K02429	11116	3880
K02430	69	116
K02431	284	165
K02433	2839	1112
K02434	3372	1277
K02435	763	379
K02436	7	20
K02437	1328	308
K02438	22	215
K02439	13	79
K02440	433	327
K02441	4064	321
K02442	10	42
K02443	95	76
K02444	306	270
K02445	939	463
K02446	4017	390
K02448	8	139
K02450	5499	407
K02451	1643	66
K02452	2416	169
K02453	6511	688
K02454	4873	595
K02455	3915	314
K02456	3171	483
K02457	2189	112
K02458	1316	77
K02459	1852	108
K02460	2974	240
K02461	3903	289
K02462	24	103
K02464	15	141
K02466	56	29
K02467	6	64
K02468	18	77
K02469	25939	6284
K02470	23424	5697
K02471	5516	434
K02472	194	247
K02473	439	65
K02474	1660	635
K02475	8	4
K02476	208	0
K02477	8263	2100
K02478	3212	813
K02479	1098	226
K02480	111	30
K02481	4233	1565
K02482	1674	257
K02483	10265	2163
K02484	2764	514
K02485	75	87
K02486	199	2
K02487	3	10
K02488	9861	659
K02490	38	6
K02491	269	12
K02492	827	565
K02493	6551	1661
K02494	1552	59
K02495	2398	1305
K02496	4273	228
K02497	21	2
K02498	18	107
K02499	1889	651
K02500	4411	1006
K02501	3596	698
K02502	880	439
K02503	3398	795
K02504	29	189
K02505	27	155
K02507	116	162
K02508	1261	175
K02510	155	57
K02511	6	14
K02515	1	16
K02517	5795	1225
K02518	2854	835
K02519	21857	6436
K02520	5688	1429
K02521	2873	515
K02523	5512	951
K02525	76	2
K02526	18	134
K02527	7210	1336
K02528	7072	1660
K02529	29759	5990
K02530	14	7
K02532	292	319
K02533	717	250
K02535	3899	447
K02536	6845	1272
K02538	97	51
K02548	6348	739
K02549	3501	458
K02550	2	91
K02551	7746	1871
K02552	3898	169
K02553	7	72
K02554	13	74
K02556	3237	323
K02557	6406	1209
K02558	4155	179
K02560	1477	89
K02562	24	192
K02563	8092	1733
K02564	8786	2884
K02565	11	116
K02566	1869	518
K02567	54	202
K02568	5	36
K02569	151	125
K02570	5	13
K02573	266	230
K02574	3130	925
K02575	75	303
K02584	1147	468
K02585	152	14
K02586	167	47
K02587	800	167
K02588	153	91
K02589	277	64
K02590	44	11
K02591	124	70
K02594	97	73
K02598	20	98
K02600	11780	3119
K02601	7239	1594
K02609	7	63
K02610	3	27
K02611	4	45
K02612	226	190
K02613	4	69
K02614	489	252
K02615	4	76
K02616	11	71
K02617	831	280
K02618	7	144
K02619	2508	136
K02621	15378	3145
K02622	12195	2441
K02623	17	118
K02624	9	0
K02626	385	118
K02639	15	89
K02647	2292	810
K02650	9310	392
K02651	19	41
K02652	7910	637
K02653	6601	549
K02654	3981	476
K02655	6174	2035
K02656	2121	10
K02657	36	0
K02658	312	124
K02660	6	1
K02662	4089	188
K02663	1897	10
K02664	1859	16
K02665	1650	2
K02666	6686	442
K02667	109	17
K02668	28	14
K02669	6875	800
K02670	3455	16
K02674	66	121
K02679	5	73
K02680	13	74
K02681	5	55
K02682	14	65
K02686	20	38
K02687	5753	947
K02688	58	184
K02742	3	60
K02744	133	258
K02745	97	189
K02746	176	340
K02747	164	363
K02749	48	226
K02750	48	226
K02752	6	56
K02753	6	56
K02755	198	200
K02756	198	205
K02757	198	205
K02759	120	89
K02760	136	82
K02761	552	272
K02768	2094	364
K02769	808	279
K02770	909	295
K02771	75	70
K02773	57	10
K02774	53	26
K02775	2510	766
K02777	1932	145
K02778	71	81
K02779	71	81
K02781	47	50
K02782	56	56
K02783	116	138
K02784	29	38
K02786	51	10
K02787	106	32
K02788	106	32
K02790	94	200
K02791	94	200
K02793	224	198
K02794	300	250
K02795	529	361
K02796	430	300
K02798	113	194
K02799	112	218
K02800	112	218
K02802	6	53
K02803	338	312
K02804	338	312
K02805	811	276
K02806	3407	599
K02808	63	0
K02809	237	52
K02810	237	52
K02817	0	15
K02818	333	283
K02819	333	283
K02821	273	71
K02822	38	53
K02823	2301	800
K02824	8650	1780
K02825	683	173
K02834	3504	884
K02835	8143	2268
K02836	9678	2783
K02837	8494	1955
K02838	5803	1424
K02839	6	80
K02840	603	59
K02841	274	375
K02843	5846	1347
K02844	939	194
K02846	23	90
K02847	48	363
K02848	5	86
K02849	118	181
K02850	2	23
K02851	2655	1134
K02852	76	82
K02853	10	164
K02854	329	252
K02855	597	379
K02856	1205	435
K02858	2072	127
K02860	4936	1029
K02863	8732	1995
K02864	6744	1572
K02866	8	4
K02867	5397	1218
K02871	5331	1341
K02874	4836	1325
K02876	5829	1335
K02877	10	4
K02878	5309	1431
K02879	5147	1298
K02881	4731	1297
K02884	4429	1086
K02885	16	2
K02886	9260	2426
K02887	4206	1107
K02888	3771	1018
K02890	4943	1387
K02892	4116	978
K02895	4347	1039
K02897	3041	738
K02899	3231	821
K02902	2379	483
K02904	3232	848
K02906	7249	1794
K02907	2832	590
K02908	66	46
K02909	2605	632
K02911	2371	561
K02912	10	2
K02913	2212	637
