	SRR1927149	SRR1929485
K01126	723.125	354.046
K01129	622.273	188.988
K01130	331.453	114.157
K01132	0.782	2.726
K01133	23.8	9.042
K01134	84.377	13.446
K01136	5.26	0.513
K01137	21.808	5.598
K01138	394.179	132.727
K01139	366.51	20.815
K01141	15.201	9.315
K01142	491.455	198.29
K01143	0.329	6.816
K01144	360.489	176.865
K01146	0.489	7.926
K01147	361.161	21.833
K01150	287.606	10.698
K01151	417.708	61.326
K01152	6.61	1.138
K01153	3034.138	721.099000000001
K01154	2974.515	509.693
K01155	839.244999999999	158.669
K01156	841.099	359.441
K01159	770.382	161.363
K01160	53.2	24.353
K01161	4.826	0
K01163	167.112	64.538
K01167	4.487	0
K01169	0.831	8.135
K01170	1.762	0.557
K01173	541.461	158.256
K01174	57.736	15.933
K01175	47.88	15.274
K01176	1406.479	353.997
K01179	1556.674	613.882000000001
K01181	594.742	192.275
K01182	201.536	60.598
K01183	135.462	54.744
K01184	90.721	28.363
K01185	835.978	336.321
K01186	222.044	47.54
K01187	1700.985	700.569
K01188	7.485	0
K01190	3855.641	1588.697
K01191	281.645	158.248
K01192	268.82	40.148
K01193	126.71	54.218
K01194	2.545	14.56
K01195	132.595	63.804
K01196	1.005	2.478
K01197	327.41	37.092
K01198	380.1495	158.956
K01200	1358.452	217.266
K01201	148.515	56.083
K01205	274.516	71.535
K01206	889.697	245.993
K01207	458.489	162.801
K01208	354.86	46.859
K01209	1373.7755	634.81
K01210	9.009	0.512
K01213	125.508	32.828
K01214	595.153	50.374
K01215	13.331	12.095
K01216	151.714	31.291
K01218	398.176	98.513
K01219	8.642	3.596
K01220	11.69	2.533
K01222	78.391	18.367
K01223	104.873	99.624
K01224	424.206	199.698
K01226	64.08	66.346
K01227	42.743	20.237
K01228	5.096	0.172
K01232	32.243	57.835
K01233	8.302	0
K01235	237.233	131.523
K01236	245.884	1.269
K01239	48.137	11.202
K01241	15.724	9.187
K01243	527.551	118.956
K01244	16.96	0
K01246	160.776	91.7
K01247	192.43	22.126
K01250	0.642	7.122
K01251	226.376	68.155
K01252	0.81	6.36
K01255	554.756	132.565
K01256	253.408	23.563
K01258	749.813	257.302
K01259	187.91	91.805
K01261	23.152	12.159
K01262	1261.461	424.956
K01265	1081.238	242.043
K01266	60.068	15.962
K01267	421.75	186.661
K01269	61.646	22.485
K01270	956.119	304.925
K01271	146.743	35.415
K01273	388.047	98.411
K01277	458.531	182.552
K01278	1121.496	427.873
K01283	12.408	1.331
K01284	709.992	280.695
K01286	108.561	65.903
K01294	6.074	0.976
K01295	110.082	39.186
K01297	78.195	27.469
K01299	73.282	11.059
K01301	2.34	3.999
K01302	10.334	3.965
K01303	176.386	102.538
K01304	47.986	3.63
K01305	75.519	38.171
K01308	103.351	14.184
K01322	54.641	13.892
K01337	4.53	1.365
K01338	1832.765	532.801
K01349	7.348	0
K01354	1.246	9.274
K01356	973.792	289.837
K01358	1368.99	287.967
K01361	127.092	29.618
K01364	176.296	93.412
K01365	16.576	3.955
K01369	5.045	0
K01372	773.915000000001	354.498
K01373	2.164	0
K01392	34.983	15.141
K01393	4.914	1.086
K01400	21.939	2.495
K01405	7.396	0.789
K01407	0.986	15.975
K01408	79.23	36.937
K01409	858.472	296.564
K01412	6.015	3.476
K01414	290.299	11.254
K01419	154.107	46.591
K01420	390.298	71.476
K01421	292.709	152.647
K01424	471.532	158.177
K01425	36.479	20.188
K01426	11.716	9.643
K01428	218.979	5.181
K01429	233.171	3.131
K01430	197.64	4.28
K01432	29.478	16.972
K01433	290.72	13.263
K01436	153.927	90.971
K01438	585.302	155.5635
K01439	582.783	108.4055
K01442	329.074	149.824
K01443	594.846	159.917
K01444	2.141	0.429
K01447	756.592	272.584
K01448	1403.08	520.267
K01449	146.837	52.841
K01451	15.714	4.622
K01452	14.069	11.972
K01455	60.911	3.653
K01458	3.321	0.07
K01460	4.094	10.157
K01462	1051.83	272.894
K01463	28.207	8.364
K01464	95.667	20.128
K01465	783.996	229.002
K01466	10.11	13.917
K01467	16.273	10.437
K01468	227.126	48.029
K01470	110.897	12.263
K01473	21.91	9.176
K01474	0.08	1.858
K01476	62.186	12.443
K01478	78.523	20.208
K01479	22.728	5.046
K01480	167.566	40.783
K01482	11.667	3.84
K01483	1.381	9.012
K01484	1.37	10.712
K01485	63.309	32.025
K01486	243.105	92.182
K01487	216.045	97.481
K01488	132.755	68.433
K01489	478.636	163.67
K01491	872.341	214.59
K01492	4.998	0.28
K01493	728.413	176.39
K01494	207.244	32.839
K01495	558.204	131.321
K01496	25.212	10.147
K01497	287.186	10.589
K01499	2.895	0
K01501	45.63	4.869
K01505	2.251	0.445
K01507	226.943	94.701
K01512	43.64	27.99
K01515	756.008	212.468
K01518	19.485	7.958
K01519	5.667	0
K01520	1190.197	269.916
K01521	1.729	8.464
K01523	34.981	4.222
K01524	651.559	185.741
K01525	226.499	9.881
K01531	9.344	35.645
K01533	654.932	259.291
K01534	1343.635	537.293
K01537	1246.774	549.796
K01539	0.601	10.344
K01541	38.649	21.376
K01546	2.004	10.03
K01547	7.53	20.183
