	SRR1927149	SRR1929485
COG1370	2	0
COG1371	8	2
COG1372	28	6
COG1373	115288	27989
COG1376	3507	751
COG1377	5097	559
COG1378	726	130
COG1379	14	160
COG1380	2385	563
COG1381	1892	658
COG1383	7	6
COG1384	842	240
COG1385	5748	1288
COG1386	1462	461
COG1387	7466	1380
COG1388	798	450
COG1390	132	13
COG1391	7482	306
COG1392	2446	264
COG1393	1011	600
COG1394	1847	420
COG1395	11	5
COG1396	6627	1650
COG1397	5107	1414
COG1399	2701	373
COG1401	16111	2179
COG1402	586	81
COG1403	2882	740
COG1404	33026	4401
COG1405	3	0
COG1406	217	70
COG1407	23	4
COG1408	8162	1630
COG1409	10561	2192
COG1410	10024	1893
COG1413	466	155
COG1414	803	623
COG1415	425	144
COG1418	9655	3367
COG1419	5475	327
COG1420	2483	932
COG1424	185	208
COG1426	1624	380
COG1427	56	25
COG1428	2755	754
COG1429	5848	2636
COG1430	356	89
COG1431	0	15
COG1432	904	23
COG1433	324	134
COG1434	1068	396
COG1435	2509	837
COG1436	280	80
COG1437	26	15
COG1438	3851	799
COG1440	136	82
COG1441	2362	82
COG1442	1930	1307
COG1443	8	72
COG1444	6548	171
COG1445	820	490
COG1446	31	64
COG1447	171	99
COG1448	3709	612
COG1449	4772	1265
COG1450	11745	706
COG1451	1664	637
COG1452	9847	889
COG1453	2733	505
COG1454	6493	2766
COG1455	791	375
COG1456	31	6
COG1457	930	280
COG1459	13727	1100
COG1461	2851	816
COG1462	683	211
COG1463	2485	544
COG1464	7175	1313
COG1466	4515	1490
COG1468	1064	207
COG1469	477	156
COG1472	39273	14466
COG1473	2718	969
COG1474	93	3
COG1475	18910	5106
COG1476	512	202
COG1477	7251	1035
COG1478	286	73
COG1479	19904	2652
COG1480	6826	1772
COG1481	1879	486
COG1482	6419	1538
COG1483	98	345
COG1484	63794	3943
COG1485	46	154
COG1486	1192	831
COG1487	617	304
COG1488	3993	1367
COG1489	418	304
COG1490	2332	868
COG1492	1362	552
COG1493	2045	520
COG1494	4017	390
COG1495	1415	88
COG1496	4981	942
COG1498	13	4
COG1501	22164	7110
COG1502	12442	3249
COG1505	348	109
COG1506	24675	7315
COG1508	10611	2091
COG1509	1025	336
COG1511	2517	1325
COG1512	2784	899
COG1513	2	62
COG1514	310	26
COG1515	61	49
COG1516	2132	208
COG1518	6903	1121
COG1519	7002	1225
COG1520	6640	493
COG1521	3128	693
COG1522	6258	1887
COG1523	36852	2112
COG1524	5324	1990
COG1525	487	92
