	SRR1927149	SRR1929485
K02050	301749	36526
K02051	430765	57627
K02052	51884	8669
K02053	34452	5458
K02054	3196	6245
K02055	54754	9615
K02056	855069	184765
K02057	1049315	219605
K02058	246925	57496
K02062	21613	4199
K02063	23193	5213
K02064	16819	9404
K02065	397897	73182
K02066	398634	71248
K02067	348120	91685
K02068	21701	7811
K02069	18819	9672
K02071	554686	80167
K02072	358751	50723
K02073	603116	107472
K02074	187084	1126
K02075	224278	1946
K02077	237379	1493
K02078	449516	88487
K02079	619	6493
K02080	1028	8697
K02081	90389	41980
K02082	15675	30862
K02083	10403	13988
K02086	18128	7443
K02099	93101	46989
K02100	166593	45853
K02103	120961	12110
K02106	63088	28301
K02107	1293	176
K02108	740143	159654
K02109	311084	67130
K02110	168031	39944
K02111	1147020	256767
K02112	1101486	240343
K02113	344850	74952
K02114	264869	48499
K02115	641793	142970
K02116	4138	7585
K02117	301600	84677
K02118	277367	66151
K02119	36325	6566
K02120	139989	32823
K02121	92257	23428
K02122	28436	6654
K02123	394050	79016
K02124	90922	21500
K02132	436	764
K02133	2881	598
K02160	172556	20767
K02167	5554	8225
K02168	19086	32456
K02169	223461	9305
K02170	223963	7028
K02171	37899	11201
K02172	199628	35736
K02173	1793	7057
K02182	1498	12516
K02188	91116	30646
K02189	50425	27168
K02190	148720	50453
K02191	4100	6922
K02192	362	1441
K02193	1475	4354
K02194	651	4281
K02195	46747	8573
K02196	70	1882
K02197	393	4018
K02198	1535	15251
K02199	337214	61902
K02200	2548	8225
K02203	66081	11884
K02204	5416	497
K02217	77706	27932
K02221	189505	14048
K02224	88003	31425
K02226	87687	36989
K02227	271223	29931
K02230	482337	215650
K02231	69921	25337
K02232	110766	45873
K02233	225883	27579
K02234	555283	79782
K02236	10128	5008
K02237	129237	49080
K02238	726521	233863
K02241	23718	3655
K02242	133986	57053
K02250	1162	1041
K02255	694	4652
K02257	513	7499
K02275	3339	4424
K02278	5247	2108
K02279	74971	25814
K02280	51212	27287
K02282	31463	20609
K02283	198072	85446
K02291	20851	6728
K02297	1533	9215
K02298	3344	17290
K02299	1537	7116
K02300	421	2856
K02302	2369	18801
K02304	32424	17228
K02313	1300264	248203
K02314	1211848	319310
K02315	3433104	306200
K02316	1748734	351295
K02317	440	3166
K02319	2446	708
K02321	11918	0
K02322	1142	453
K02323	2696	1193
K02334	1038631	34011
K02335	1972593	492156
K02336	2083	16495
K02337	3286855	578161
K02338	873056	180380
K02339	1002	5059
K02340	327250	120772
K02341	602303	142353
K02342	993561	152915
K02343	888158	228593
K02344	445	2511
K02345	432	1781
K02346	358398	100291
K02347	5332	1747
K02348	11299	11888
K02355	3116122	789066
K02356	498635	121296
K02357	744987	194173
K02358	1831073	423100
K02361	123867	52698
K02362	1039	9567
K02363	1214	10797
K02364	2239	20379
K02371	139804	43990
K02372	264334	43411
K02377	256498	73418
K02379	3924	8259
K02380	1240	9067
K02381	2954	19448
K02383	16487	5107
K02385	15567	2667
K02386	176100	11581
K02387	153771	13283
K02388	166036	15822
K02389	262850	18304
K02390	545187	53426
K02391	218286	2566
K02392	406716	46647
K02393	201294	11112
K02394	321360	19946
K02395	449550	40332
K02396	740403	74693
K02397	417610	42751
K02398	110207	11739
K02399	83112	3327
K02400	730319	75957
K02401	433201	40522
K02402	687	3851
K02403	723	2668
K02404	484794	27717
K02405	304314	32012
K02406	1864078	240995
K02407	635610	65257
K02408	116891	10295
K02409	574637	41650
K02410	379832	45707
K02411	330512	26580
K02412	393551	46482
K02413	115849	14203
K02414	16520	14360
K02415	260816	18996
K02416	322514	20620
K02417	206015	27635
K02418	216634	12125
K02419	267645	27829
K02420	95078	9629
K02421	264971	27445
K02422	177708	18931
K02423	320	2055
K02424	18272	15522
