	SRR1927149	SRR1929485
Erwinia	0	14
Unclassified Enterobacterales	48	164
Legionella	121	10
Acinetobacter	367	178
Psychrobacter	232	0
Unclassified Moraxellaceae	37	93
Unclassified Moraxellales	38	3
Halomonas	33	7
Haemophilus	1001	230
Mannheimia	13	0
Pasteurella	19	0
Unclassified Pasteurellaceae	218	154
Unclassified Pasteurellales	124	47
Pseudomonas	21	2
Unclassified Gammaproteobacteria	2212669	17381
Vibrio	49	13
Stenotrophomonas	18	33
Xanthomonas	10	0
Unclassified Oligoflexia	8	3
Unclassified Proteobacteria	566789	9768
Spirochaetes bacterium (no genus in NCBI)	89583	82287
Brachyspira	39953	29650
Unclassified Brachyspiraceae	28	21
Unclassified Brachyspirales	7	37
Candidatus Ornithospirochaeta	54	0
Spirochaetaceae bacterium (no genus in NCBI)	146	0
Spirochaetales bacterium (no genus in NCBI)	31	3
Treponema	693695	223353
Unclassified Treponemataceae	325	731
Unclassified Spirochaetales	151097	7766
Spirochaetia bacterium (no genus in NCBI)	23921	4474
Unclassified Spirochaetia	121543	9239
Unclassified Spirochaetes	11975	3208
Unclassified Synergistales	33	0
Acholeplasma	126	35
Unclassified Acholeplasmatales	23	0
Anaeroplasma	17	0
Mollicutes bacterium (no genus in NCBI)	2881	6
Mycoplasma	3554	2718
Unclassified Mycoplasmataceae	76	5
Unclassified Mycoplasmatales	13	0
Unclassified Mollicutes	281	116
Tenericutes bacterium (no genus in NCBI)	41824	3957
Unclassified Tenericutes	10764	9580
Unclassified Bacteria	1608153	155527
Candidatus Merdousia	90	0
Opitutales bacterium (no genus in NCBI)	256	1
Unclassified Opitutales	455	0
Coraliomargarita	49	0
Unclassified Puniceicoccaceae	12	0
Unclassified Opitutae	299	1
Unclassified Verrucomicrobia	3644	268
Verrucomicrobia bacterium (no genus in NCBI)	276	82
Unclassified Verrucomicrobiae	12	0
Akkermansia	121	24
Unclassified Verrucomicrobiales	63	0
Unclassified Verrucomicrobiaceae	396	0
Verrucomicrobiaceae bacterium (no genus in NCBI)	112	0
bacterium 0.1xD8-71 (no genus in NCBI)	30	0
bacterium 210820-DFI.6.38 (no genus in NCBI)	12	9
bacterium BFN5 (no genus in NCBI)	37	3
bacterium F083 (no genus in NCBI)	1114	0
bacterium J10(2018) (no genus in NCBI)	191	0
Ogataea	10	3
Unclassified Ascomycota	95	102
Blastocystis	454	29
Unclassified Chordata	30	16
Aduncisulcus	208	1
Rhizophagus	10	0
Toxocara	21	4
Trichuris	201	50
Ectocarpus	10	0
Vigna	1	49
Zea	259	743
Unclassified Magnoliopsida	48	11
Unclassified Streptophyta	4	2
Unclassified Eukaryota	51	0
No CDS	118178	45054
Unclassified	922375	282233
Unmapped	6214675	3687252
Bacteriophage sp. (no genus in NCBI)	20643	5716
Inoviridae sp. (no genus in NCBI)	1758	140
Unclassified Inoviridae	78	0
Phage sp. ctrsQ3 (no genus in NCBI)	10	4
Microviridae sp. (no genus in NCBI)	313	3353
Unclassified Microviridae	22	643
Unclassified Viruses	29972	8430
Klebsiella phage IME184 (no genus in NCBI)	0	61
Unclassified Autographiviridae	1615	1841
Vectrevirus	6	3476
Caudovirales sp. (no genus in NCBI)	1099	203
Herelleviridae sp. (no genus in NCBI)	38	720
Escherichia phage BUCT618 (no genus in NCBI)	0	69
Krischvirus	8	19
Mosigvirus	5	59
Myoviridae sp. (no genus in NCBI)	56744	13981
Unclassified Myoviridae	369	7485
Podoviridae sp. (no genus in NCBI)	69032	39685
Unclassified Podoviridae	85	14
Seuratvirus	0	11
Siphoviridae sp. (no genus in NCBI)	609063	119281
Unclassified Siphoviridae	2632	1074
Unclassified Caudovirales	49622	10724
CrAss-like virus sp. (no genus in NCBI)	53763	357
Unclassified Crassvirales	139	168
Unclassified Caudoviricetes	17504	225
