	SRR1927149	SRR1929485
Anaerovibrio slackiae	310	224
Anaerovibrio sp.	20	32
Unclassified Anaerovibrio	3919	3833
Unclassified Megamonas	0	33
Mitsuokella jalaludinii	0	143
Mitsuokella multacida	5	163
Mitsuokella sp.	0	391
Unclassified Mitsuokella	102	2043
Unclassified Schwartzia	0	18
Selenomonadaceae bacterium	1681	973
Selenomonas flueggei	42	22
Selenomonas ruminantium	19	0
Selenomonas sp.	13	0
Unclassified Selenomonas	1599	877
Unclassified Selenomonadaceae	15350	13632
Selenomonadales bacterium	1109	17
Unclassified Selenomonadales	6584	4598
Unclassified Negativicutes	124848	102893
Unclassified Veillonellales	68	35
Dialister sp.	19085	152038
Unclassified Dialister	3378	21892
Unclassified Megasphaera	166	163
Unclassified Veillonellaceae	2031	3220
Unclassified Veillonella	92	10
Veillonellaceae bacterium	40273	39637
Unclassified Gallicola	26	0
Peptoniphilus sp.	22	0
Unclassified Tissierellia	26	0
Unclassified Firmicutes	524553	155298
Unclassified Fusobacterium	6517	49
Unclassified Leptotrichia	15	0
Kiritimatiellae bacterium	9460	2576
Unclassified Kiritimatiellae	36174	8288
Unclassified Kiritimatiellaeota	1903	504
Lentisphaerae bacterium	124	38
Lentisphaeraceae bacterium	23	5
Lentisphaeria bacterium	2551	7268
Unclassified Lentisphaeria	15893	2296
Unclassified Victivallales	33372	1128
Unclassified Victivallaceae	5	12
Unclassified Victivallis	154	43
Victivallis lenta	5	23
Victivallis sp.	44	7
Victivallis vadensis	15	20
Victivallales bacterium	2749	200
Unclassified Lentisphaerae	42632	3618
Nitrospira sp.	183	87
Unclassified Planctomycetia	21	4
Unclassified Planctomycetes	99	20
Alphaproteobacteria bacterium	8568	11790
Unclassified Candidatus Enterousia	0	28
Shinella curvata	49	33
Sinorhizobium sp.	7885	1257
Unclassified Sinorhizobium	7	62
Unclassified Rhizobiaceae	19	25
Unclassified Hyphomicrobiales	11	10
Unclassified Rhodobacterales	0	42
Acetobacter sp.	4933	327
Unclassified Acetobacter	1661	193
Unclassified Acidiphilium	3	125
Unclassified Acetobacteraceae	100	7
Azospirillum sp.	0	31
Unclassified Azospirillum	71	5
Rhodospirillaceae bacterium	9	3
Unclassified Thalassospiraceae	24	0
Unclassified Rhodospirillales	66	40
Unclassified Rickettsia	9	0
Unclassified Alphaproteobacteria	47005	70656
Unclassified Pandoraea	152	2
Burkholderiales bacterium	70	3
Unclassified Comamonadaceae	29	0
Oxalobacter sp.	14	0
Unclassified Duodenibacillus	118	28
Unclassified Mesosutterella	56	12
Sutterella sp.	270	86
Unclassified Sutterella	315	93
Unclassified Sutterellaceae	1154	316
Unclassified Thiomonas	3	11
Unclassified Burkholderiales	2424	293
Unclassified Betaproteobacteria	297	13
Unclassified Desulfobulbaceae	27	4
Desulfovibrio piger	7	17
Unclassified Desulfovibrio	5	8
Unclassified Desulfovibrionaceae	33	25
Candidatus Fimimonas merdipullorum	21	0
Unclassified Corallococcus	12	0
Unclassified Myxococcales	23	6
Unclassified Deltaproteobacteria	63	6
Campylobacter coli	53	11
Campylobacter concisus	102	77
Campylobacter iguaniorum	34	2
Campylobacter jejuni	81	38
Campylobacter lari	15	3
Campylobacter troglodytis	383	251
Campylobacter upsaliensis	9	12
Candidatus Campylobacter infans	415	168
Unclassified Campylobacter	11852	5486
Unclassified Campylobacteraceae	997	452
Helicobacter macacae	11	4
Helicobacter pylori	34	13
Unclassified Helicobacter	536	207
Unclassified Helicobacteraceae	122	44
Unclassified Campylobacterales	1380	626
Unclassified Epsilonproteobacteria	670	270
Unclassified Aeromonas	2401	17
Aeromonadales bacterium	0	19
Ruminobacter amylophilus	2994	1
Ruminobacter sp.	12760	254
Unclassified Ruminobacter	25441	531
Succinatimonas hippei	0	14
Succinatimonas sp.	28234	1543
Unclassified Succinatimonas	6477	203
Succinimonas amylolytica	41	24
Succinivibrio sp.	210580	2644
Unclassified Succinivibrio	17424	920
Succinivibrionaceae bacterium	650	906
Unclassified Succinivibrionaceae	1349781	37303
Unclassified Aeromonadales	1069870	8368
Pseudoalteromonas ruthenica	755	302
Unclassified Shewanella	4	4
Unclassified Enterobacter	0	13
Escherichia coli	63390	413225
Unclassified Escherichia	1498	8652
Klebsiella pneumoniae	1591	1977
Klebsiella variicola	9	5
Unclassified Klebsiella	971	1109
Unclassified Raoultella	5	4
Salmonella enterica	20	5
Shigella flexneri	29	58
Unclassified Shigella	4	15
Unclassified Enterobacteriaceae	3130	14689
Unclassified Erwinia	0	14
Unclassified Enterobacterales	48	164
Unclassified Legionella	121	10
Acinetobacter baumannii	360	178
Unclassified Acinetobacter	7	0
Unclassified Psychrobacter	232	0
Unclassified Moraxellaceae	37	93
Unclassified Moraxellales	38	3
Halomonas titanicae	33	7
Haemophilus parainfluenzae	320	61
Haemophilus pittmaniae	6	0
Haemophilus sputorum	23	0
Unclassified Haemophilus	652	169
Mannheimia haemolytica	13	0
Unclassified Pasteurella	19	0
Unclassified Pasteurellaceae	218	154
Unclassified Pasteurellales	124	47
Pseudomonas aeruginosa	11	2
Unclassified Pseudomonas	10	0
Unclassified Gammaproteobacteria	2212669	17381
Unclassified Vibrio	23	12
Vibrio cholerae	26	1
Stenotrophomonas maltophilia	0	33
Unclassified Stenotrophomonas	18	0
Xanthomonas citri	10	0
Unclassified Oligoflexia	8	3
Unclassified Proteobacteria	566789	9768
Spirochaetes bacterium	89583	82287
Brachyspira aalborgi	29185	21398
Brachyspira catarrhinii	18	44
Brachyspira pilosicoli	29	12
Brachyspira sp.	26	13
Unclassified Brachyspira	10695	8183
Unclassified Brachyspiraceae	28	21
Unclassified Brachyspirales	7	37
Unclassified Candidatus Ornithospirochaeta	54	0
Spirochaetaceae bacterium	146	0
Spirochaetales bacterium	31	3
Treponema berlinense	1043	623
Treponema pectinovorum	51	5
Treponema peruense	580409	74797
Treponema porcinum	11	4
Treponema sp.	4848	3894
Treponema succinifaciens	11277	22680
Unclassified Treponema	96056	121350
Unclassified Treponemataceae	325	731
Unclassified Spirochaetales	151097	7766
Spirochaetia bacterium	23921	4474
Unclassified Spirochaetia	121543	9239
Unclassified Spirochaetes	11975	3208
Unclassified Synergistales	33	0
Acholeplasma sp.	60	18
Unclassified Acholeplasma	66	17
Unclassified Acholeplasmatales	23	0
Anaeroplasma sp.	17	0
Mollicutes bacterium	2881	6
Mycoplasma sp.	1976	1450
Unclassified Mycoplasma	1578	1268
Unclassified Mycoplasmataceae	76	5
Unclassified Mycoplasmatales	13	0
Unclassified Mollicutes	281	116
Tenericutes bacterium	41824	3957
Unclassified Tenericutes	10764	9580
Unclassified Bacteria	1608153	155527
Candidatus Merdousia gallistercoris	34	0
Unclassified Candidatus Merdousia	56	0
Opitutales bacterium	256	1
Unclassified Opitutales	455	0
Coraliomargarita sp.	29	0
Unclassified Coraliomargarita	20	0
Unclassified Puniceicoccaceae	12	0
Unclassified Opitutae	299	1
Unclassified Verrucomicrobia	3644	268
Verrucomicrobia bacterium	276	82
Unclassified Verrucomicrobiae	12	0
Akkermansia muciniphila	21	2
Akkermansia sp.	49	17
Unclassified Akkermansia	51	5
Unclassified Verrucomicrobiales	63	0
Unclassified Verrucomicrobiaceae	396	0
Verrucomicrobiaceae bacterium	112	0
bacterium 0.1xD8-71	30	0
bacterium 210820-DFI.6.38	12	9
bacterium BFN5	37	3
bacterium F083	1114	0
bacterium J10(2018)	191	0
Ogataea philodendri	10	3
Unclassified Ascomycota	95	102
Blastocystis hominis	59	6
Blastocystis sp.	373	15
Unclassified Blastocystis	22	8
Unclassified Chordata	30	16
Aduncisulcus paluster	208	1
Rhizophagus irregularis	10	0
Toxocara canis	21	4
Trichuris suis	116	0
Trichuris trichiura	85	50
Ectocarpus sp.	10	0
Vigna unguiculata	1	49
Unclassified Zea	86	278
Zea mays	173	465
Unclassified Magnoliopsida	48	11
Unclassified Streptophyta	4	2
Unclassified Eukaryota	51	0
No CDS	118178	45054
Unclassified	922375	282233
Unmapped	6214675	3687252
Bacteriophage sp.	20643	5716
Inoviridae sp.	1758	140
Unclassified Inoviridae	78	0
Phage sp. ctrsQ3	10	4
Microviridae sp.	313	3353
Unclassified Microviridae	22	643
Unclassified Viruses	29972	8430
Klebsiella phage IME184	0	61
Unclassified Autographiviridae	1615	1841
Escherichia phage ULINTec7	0	11
Unclassified Vectrevirus	6	3465
Caudovirales sp.	1099	203
Herelleviridae sp.	38	720
Escherichia phage BUCT618	0	69
Unclassified Krischvirus	8	19
Unclassified Mosigvirus	5	59
Myoviridae sp.	56744	13981
Unclassified Myoviridae	369	7485
Podoviridae sp.	69032	39685
Unclassified Podoviridae	85	14
Unclassified Seuratvirus	0	11
Siphoviridae sp.	609063	119281
Unclassified Siphoviridae	2632	1074
Unclassified Caudovirales	49622	10724
CrAss-like virus sp.	53763	357
Unclassified Crassvirales	139	168
Unclassified Caudoviricetes	17504	225
